no	ID	tube_label	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
115	LV1-14-3	ST16L46	LV1	LV	10	6	278	14	LV1	0.51	1.39	4	1.5	12	1	1	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
54	LV1-10-2	ST5L19	LV1	LV	16	6	229	10	LV1	0.35	1.36	3.8	1.2	11	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	11.22105263
66	LV1-9-1	ST15L25	LV1	LV	36	6	270	9	LV1	0.37	1.09	1.4	1.1	9	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
107	LV1-2-1	ST13L12	LV1	LV	58	6	257	2	LV1	0.41	1.28	3.5	1.3	13	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
148	LV1-4-2	ST4L36	LV1	LV	70	6	227	4	LV1	0.27	1.45	3.7	1.1	10	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	12.6744186
108	LV1-13-1	ST12L24	LV1	LV	109	6	252	13	LV1	0.35	1.66	3.6	1.4	14	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
2	LV1-6-1	ST5L44	LV1	LV	134	6	231	6	LV1	0.41	1.09	1.5	1.1	8	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
187	LV1-19-1	ST9L24	LV1	LV	158	6	243	19	LV1	0.41	1.58	5.3	1.2	12	1	1	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	14.50537634
85	LV1-8-1	ST2L35	LV1	LV	176	6	222	8	LV1	0.28	1.3	1.4	1.1	10	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
109	YO10-10-2	ST6L2	LV1	LV	92	6	760	10	YO10	0.22	0.78	1.5	1.1	12	1	0	0	YO	2593.416641	37.92097	-119.25454	NA	NA	NA	NA	NA	NA	NA	NA	5.48387096774194	12.16949153
