"","ID","mf","pop","lf_thickness","postvern_stem_diam","postvern_height","postvern_lngst_lf","postvern_no_lvs","postvern_no_brs","flrd_yn","died_during_drt","site","el","lat","long","cwd","ppt","pck","str","tmn","tmx","PC1","PC2","season_length","sla"
"42","BH-13-3",13,"BH",0.2,1.08,4.3,1.9,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"43","BH-21-2",21,"BH",0.17,1.12,2.7,1.8,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"44","BH-11-3",11,"BH",0.18,1.05,2.1,1.1,17,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"45","BH-5-2",5,"BH",0.17,0.85,2.1,1.7,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"46","BH-3-1",3,"BH",0.24,1.32,4.2,1.8,7,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"47","BH-19-1",19,"BH",0.3,0.91,1,0.4,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"48","BH-21-3",21,"BH",0.2,1.24,1.4,2,13,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"49","BH-3-3",3,"BH",0.17,1.24,5.7,2.1,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"50","BH-33-2",33,"BH",0.37,0.94,2.4,0.8,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"51","BH-19-2",19,"BH",0.22,0.55,0.9,0.7,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"52","BH-11-4",11,"BH",0.2,0.61,3.8,1.8,16,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"53","BH-17-2",17,"BH",0.2,0.94,3.6,1.4,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"54","BH-15-1",15,"BH",0.19,1.03,3,2.4,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"55","BH-25-3",25,"BH",0.27,0.93,3,1.4,10,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"14.53043478"
