Population	tube_label	no	ID	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
WV	ST15L36	141	WV-7-1	WV	WV	79	17	713	7	WV	0.33	1.52	3.2	1.4	13	1	1	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	14.98148148
LV3	ST15L40	48	LV3-4-2	LV3	LV	56	8	319	4	LV3	0.35	0.89	2.4	0.9	9	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	NA
WV	ST15L49	126	WV-4-1	WV	WV	133	17	715	4	WV	0.32	1.6	4.6	1.9	11	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	NA
SHA	ST15L50	130	SHA-10 H4 75	SHA	SHA	14	10	813	10	SHA	0.15	1.96	5.2	1.5	7	1	1	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	18.53488372
YO1	ST16L10	6	YO1-9-1	YO1	YO	22	18	741	9	YO1	0.46	1.59	6.2	1.5	54	3	1	0	YO	2140.505943	37.66374	-119.62484	19158.0299959183	33131.0599101894	42339.3702177405	163895.233428955	2.22271002452508	14.8313278693171	-0.0396204206786582	0.085707802567274	5.12903225806452	5.617346939
WL1	ST16L33	178	WL1-10-2	WL1	WL	172	14	599	10	WL1	0.59	0.8	2.3	0.8	6	1	1	0	WL	1613.837245	38.78608	-120.2143	21017.2600078583	37866.349978935	21361.5900307298	139004.070068359	4.27542005953326	17.2160975545402	-0.576185990694496	0.272937691228204	6.24301075268817	NA
SQ1	ST16L43	116	SQ1-6-1	SQ1	SQ	95	11	450	6	SQ1	0.33	1.02	4.2	1.8	15	1	0	0	SQ	1921.036585	36.56435	-118.7764	NA	NA	NA	NA	NA	NA	NA	NA	5.4860956618465	NA
LV1	ST16L46	115	LV1-14-3	LV1	LV	10	6	278	14	LV1	0.51	1.39	4	1.5	12	1	1	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
WV	ST16L48	63	WV-3-2	WV	WV	8	17	716	3	WV	0.33	1.59	4.2	1.3	9	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	NA
SHA	ST16L50	127	SHA-7 H5 51	SHA	SHA	60	10	809	7	SHA	0.27	0.77	2.4	1	5	1	0	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	24.1875
IH	ST16L9	146	IH-4-1	IH	IH	83	4	195	4	IH	0.35	1.08	5.3	1.7	7	1	0	0	IH	454.1298385	39.09332	-120.92114	17951.6099762917	32607.0099642463	69.729998588562	154618.337615967	8.57441735408978	22.2165582031415	-1.98110354252231	-0.385519143733053	7.64086021505376	11
SHA	ST17L14	57	SHA-4 H5 4	SHA	SHA	17	10	814	4	SHA	0.49	1.33	3.3	1.8	9	1	1	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	16.11340206
YO11	ST17L19	143	YO11-1 H9 58	YO11	YO	61	20	817	1	YO11	0.5	1.26	1.7	1.4	9	1	0	0	YO	2872.295032	37.93844	-119.23157	20834.2600135803	24246.6000014134	65309.1998522561	100793.531387329	-2.84029810707562	10.5352032413166	1.03457473150151	1.37039537012269	5.64516129032258	NA
SHA	ST17L20	173	SHA-10 H5 55	SHA	SHA	126	10	819	10	SHA	0.46	1.56	2.9	1.1	8	1	1	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	21.4
YO10	ST17L4	134	YO10-1-3	YO10	YO	91	19	785	1	YO10	0.34	1.19	2.4	1.6	10	2	0	0	YO	2968.302347	37.92097	-119.25454	NA	NA	NA	NA	NA	NA	NA	NA	5.48387096774194	NA
WL1	ST17L5	172	WL1-2-1	WL1	WL	154	14	601	2	WL1	0.28	1.42	3.4	1.4	15	1	1	1	WL	1613.837245	38.78608	-120.2143	21017.2600078583	37866.349978935	21361.5900307298	139004.070068359	4.27542005953326	17.2160975545402	-0.576185990694496	0.272937691228204	6.24301075268817	NA
SQ1	ST17L6	125	SQ1-7-1	SQ1	SQ	168	11	451	7	SQ1	0.36	1	3.9	1.7	15	1	0	0	SQ	1921.036585	36.56435	-118.7764	NA	NA	NA	NA	NA	NA	NA	NA	5.4860956618465	NA
WV	ST17L9	185	WV-6-1	WV	WV	63	17	717	6	WV	0.4	1.73	4.1	1.6	11	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	NA
DPR	ST1L11	160	DPR-8-1	DPR	DPR	130	3	102	8	DPR	0.3	1.61	4.6	1.7	16	1	1	1	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	15.9137931
